customer_id,first_name,last_name,email,age,gender,city,state,country,favorite_nba_team,favorite_players,wnba_team_interest,merch_purchased,total_spent_usd,purchase_frequency,game_attendance,tv_viewing_hours,social_media_engagement,sports_news_engagement,recommendation_score
error: undefined method `first' for nil:NilClass,Karolina,Blades,kblades0@fda.gov,69,F,Omaha,NE,United States,Houston Rockets,Russell Westbrook,Chicago Sky,socks,Dollar,4,1,5.0,48,71,0.36
error: undefined method `first' for nil:NilClass,Charlean,Sherrard,csherrard1@unesco.org,69,F,Springfield,MA,United States,Golden State Warriors,Luka Doncic,Los Angeles Sparks,backpacks,Dollar,1,1,11.5,86,66,0.35
error: undefined method `first' for nil:NilClass,Solly,Rammell,srammell2@hc360.com,54,M,Newark,NJ,United States,Toronto Raptors,Zach LaVine,,posters,Dollar,0,4,7.1,73,69,0.34
error: undefined method `first' for nil:NilClass,Atalanta,Bathersby,abathersby3@liveinternet.ru,66,F,Saint Louis,MO,United States,Miami Heat,Paul George,Atlanta Dream,jerseys,Dollar,3,2,6.0,72,65,0.37
error: undefined method `first' for nil:NilClass,Rafe,Manners,rmanners4@clickbank.net,76,M,Burbank,CA,United States,Los Angeles Lakers,Dejounte Murray,Seattle Storm,posters,Dollar,1,4,4.0,76,62,0.37
error: undefined method `first' for nil:NilClass,Weston,Dunridge,wdunridge5@soundcloud.com,20,M,Palmdale,CA,United States,Miami Heat,Julius Randle,Los Angeles Sparks,jerseys,Dollar,1,8,8.2,64,68,0.51
error: undefined method `first' for nil:NilClass,Jamie,Gore,jgore6@rediff.com,72,M,Van Nuys,CA,United States,Chicago Bulls,Rudy Gobert,Dallas Wings,blankets,Dollar,4,6,4.7,54,44,0.5
error: undefined method `first' for nil:NilClass,Ricoriki,Balser,rbalser7@columbia.edu,20,M,Jacksonville,FL,United States,Golden State Warriors,Stephen Curry,Seattle Storm,socks,Dollar,1,7,5.6,76,64,0.45
error: undefined method `first' for nil:NilClass,Goldi,Flett,gflett8@google.it,32,F,West Palm Beach,FL,United States,Dallas Mavericks,Jayson Tatum,Chicago Sky,hats,Dollar,1,0,7.9,63,47,0.69
error: undefined method `first' for nil:NilClass,Justine,Mold,jmold9@un.org,22,F,Las Vegas,NV,United States,Toronto Raptors,CJ McCollum,Dallas Wings,phone cases,Dollar,3,0,9.8,62,52,0.35
